bus,Vm_pu,Va_deg,P_net_MW,Q_net_MVAr
1,0.96,0.16536967250713872,10.000000000000009,-162.7643908041099
2,1.03,-0.6118202144665273,-19.999999999999996,117.51978055237498
3,1.0,0.0,11.12373184433768,-12.034971304888542
