mode,real_part,imag_part,abs_value,freq_hz,damping_pct,status,type,unstable,near_axis,lightly_damped_osc
56,0.0,0.0,0.0,0.0,100.0,Near-axis,NonOsc,false,true,false
54,-0.6926206076084909,-0.5647709788968845,0.8936943351549792,0.08988609300628768,77.50083897403027,Stable,Osc,false,false,false
55,-0.6926206076084909,0.5647709788968845,0.8936943351549792,0.08988609300628768,77.50083897403027,Stable,Osc,false,false,false
52,-1.0437443799229835,-5.05010806508806,5.156839516572945,0.8037496617070119,20.240001197799916,Stable,Osc,false,false,false
53,-1.0437443799229835,5.05010806508806,5.156839516572945,0.8037496617070119,20.240001197799916,Stable,Osc,false,false,false
51,-1.5449932104997484,0.0,1.5449932104997484,0.0,100.0,Stable,NonOsc,false,false,false
49,-2.4783974595789457,-9.491769554276614,9.81000220382951,1.5106620432522793,25.263984738061108,Stable,Osc,false,false,false
50,-2.4783974595789457,9.491769554276614,9.81000220382951,1.5106620432522793,25.263984738061108,Stable,Osc,false,false,false
47,-2.9488210585343175,-1.015332879146992,3.1187251386956776,0.16159524659996977,94.55213035437879,Stable,Osc,false,false,false
48,-2.9488210585343175,1.015332879146992,3.1187251386956776,0.16159524659996977,94.55213035437879,Stable,Osc,false,false,false
45,-3.1381493795600286,-6.435606826330504,7.1599592702434265,1.0242586382064447,43.82915127188058,Stable,Osc,false,false,false
46,-3.1381493795600286,6.435606826330504,7.1599592702434265,1.0242586382064447,43.82915127188058,Stable,Osc,false,false,false
44,-6.064351285485062,0.0,6.064351285485062,0.0,100.0,Stable,NonOsc,false,false,false
43,-10.32268406782225,0.0,10.32268406782225,0.0,100.0,Stable,NonOsc,false,false,false
42,-21.216240159161096,0.0,21.216240159161096,0.0,100.0,Stable,NonOsc,false,false,false
40,-25.51223819999276,-93.63644293087088,97.04976941095434,14.902702745990261,26.287788579859424,Stable,Osc,false,false,false
41,-25.51223819999276,93.63644293087088,97.04976941095434,14.902702745990261,26.287788579859424,Stable,Osc,false,false,false
39,-30.42299734314177,0.0,30.42299734314177,0.0,100.0,Stable,NonOsc,false,false,false
37,-37.69911184307779,-376.9911184307758,378.87138504965526,60.00000000000011,9.950371902099944,Stable,Osc,false,false,false
38,-37.69911184307779,376.9911184307758,378.87138504965526,60.00000000000011,9.950371902099944,Stable,Osc,false,false,false
35,-38.09834396386222,-6.022443737237625,38.57140963663306,0.9585016902741956,98.7735328388892,Stable,Osc,false,false,false
36,-38.09834396386222,6.022443737237625,38.57140963663306,0.9585016902741956,98.7735328388892,Stable,Osc,false,false,false
33,-41.46791142797874,-1.4662814605378571,41.49382676399234,0.23336594240860384,99.93754411671645,Stable,Osc,false,false,false
34,-41.46791142797874,1.4662814605378571,41.49382676399234,0.23336594240860384,99.93754411671645,Stable,Osc,false,false,false
32,-45.36082584500439,0.0,45.36082584500439,0.0,100.0,Stable,NonOsc,false,false,false
31,-49.99999999999992,0.0,49.99999999999992,0.0,100.0,Stable,NonOsc,false,false,false
29,-54.67892156971398,-202.72257175991976,209.96720116480753,32.2642993718927,26.04164901297864,Stable,Osc,false,false,false
30,-54.67892156971398,202.72257175991976,209.96720116480753,32.2642993718927,26.04164901297864,Stable,Osc,false,false,false
27,-66.70928486652298,-34.47820851287666,75.09244668846736,5.487377313777387,88.83621164093476,Stable,Osc,false,false,false
28,-66.70928486652298,34.47820851287666,75.09244668846736,5.487377313777387,88.83621164093476,Stable,Osc,false,false,false
25,-103.32957104648906,-8.488131225875076,103.67761872438577,1.3509280422106875,99.66429815597719,Stable,Osc,false,false,false
26,-103.32957104648906,8.488131225875076,103.67761872438577,1.3509280422106875,99.66429815597719,Stable,Osc,false,false,false
23,-196.9034151216824,-750.3323829983414,775.7381258276218,119.41910771610723,25.382717255466787,Stable,Osc,false,false,false
24,-196.9034151216824,750.3323829983414,775.7381258276218,119.41910771610723,25.382717255466787,Stable,Osc,false,false,false
21,-715.8352151988137,-462.7246767296327,852.3697447547484,73.64491959212036,83.98177194860199,Stable,Osc,false,false,false
22,-715.8352151988137,462.7246767296327,852.3697447547484,73.64491959212036,83.98177194860199,Stable,Osc,false,false,false
19,-1000.0,0.0,1000.0,0.0,100.0,Stable,NonOsc,false,false,false
20,-1000.0,0.0,1000.0,0.0,100.0,Stable,NonOsc,false,false,false
17,-1308.4102387601426,-6096.046828180928,6234.879652749291,970.2159860246647,20.985332702984806,Stable,Osc,false,false,false
18,-1308.4102387601426,6096.046828180928,6234.879652749291,970.2159860246647,20.985332702984806,Stable,Osc,false,false,false
15,-1495.652603817075,-5724.800570356561,5916.951772801567,911.1303089875486,25.277417515757634,Stable,Osc,false,false,false
16,-1495.652603817075,5724.800570356561,5916.951772801567,911.1303089875486,25.277417515757634,Stable,Osc,false,false,false
13,-1682.5876798337777,-4737.38056280511,5027.3129897761555,753.9775338778983,33.46892630826027,Stable,Osc,false,false,false
14,-1682.5876798337777,4737.38056280511,5027.3129897761555,753.9775338778983,33.46892630826027,Stable,Osc,false,false,false
11,-1736.6298214880715,-8487.691627884045,8663.53232272695,1350.8580780174418,20.045285881053267,Stable,Osc,false,false,false
12,-1736.6298214880715,8487.691627884045,8663.53232272695,1350.8580780174418,20.045285881053267,Stable,Osc,false,false,false
9,-1839.934063521731,-8252.953712229742,8455.566352073307,1313.498378409971,21.76003341361728,Stable,Osc,false,false,false
10,-1839.934063521731,8252.953712229742,8455.566352073307,1313.498378409971,21.76003341361728,Stable,Osc,false,false,false
7,-2054.022989049585,-4245.0073887217795,4715.834832757259,675.6139093766901,43.55587211795194,Stable,Osc,false,false,false
8,-2054.022989049585,4245.0073887217795,4715.834832757259,675.6139093766901,43.55587211795194,Stable,Osc,false,false,false
5,-3037.2304231144253,-22833.482752838463,23034.597961919444,3634.0616481177794,13.185515232935877,Stable,Osc,false,false,false
6,-3037.2304231144253,22833.482752838463,23034.597961919444,3634.0616481177794,13.185515232935877,Stable,Osc,false,false,false
3,-3061.8842425698067,-23216.698666501026,23417.73328240818,3695.052355048653,13.075066684058397,Stable,Osc,false,false,false
4,-3061.8842425698067,23216.698666501026,23417.73328240818,3695.052355048653,13.075066684058397,Stable,Osc,false,false,false
1,-4092.617583546961,-29118.181610811243,29404.38775090112,4634.3025372081365,13.918390745685699,Stable,Osc,false,false,false
2,-4092.617583546961,29118.181610811243,29404.38775090112,4634.3025372081365,13.918390745685699,Stable,Osc,false,false,false
