t_s,delta_pm_pu,Pm0_pu_sysbase
0.0,0.0,1.1175729314683598
0.01,0.0,1.1175729314683598
0.02,0.0,1.1175729314683598
0.03,0.0,1.1175729314683598
0.04,0.0,1.1175729314683598
0.05,0.0,1.1175729314683598
0.06,0.0,1.1175729314683598
0.07,0.0,1.1175729314683598
0.08,0.0,1.1175729314683598
0.09,0.0,1.1175729314683598
0.1,0.0,1.1175729314683598
0.11,0.0,1.1175729314683598
0.12,0.0,1.1175729314683598
0.13,0.0,1.1175729314683598
0.14,0.0,1.1175729314683598
0.15,0.0,1.1175729314683598
0.16,0.0,1.1175729314683598
0.17,0.0,1.1175729314683598
0.18,0.0,1.1175729314683598
0.19,0.0,1.1175729314683598
0.2,0.0,1.1175729314683598
0.21,0.0,1.1175729314683598
0.22,0.0,1.1175729314683598
0.23,0.0,1.1175729314683598
0.24,0.0,1.1175729314683598
0.25,0.0,1.1175729314683598
0.26,1.1701109975988742e-5,1.1175729314683598
0.27,4.374602954334898e-5,1.1175729314683598
0.28,9.408057843588092e-5,1.1175729314683598
0.29,0.00016105141260892733,1.1175729314683598
0.3,0.00024778614967254845,1.1175729314683598
0.31,0.00035763603248010963,1.1175729314683598
0.32,0.0004893222612150607,1.1175729314683598
0.33,0.0006395332056112655,1.1175729314683598
0.34,0.0008056040696698568,1.1175729314683598
0.35,0.0009863570755829045,1.1175729314683598
0.36,0.0011821343945766347,1.1175729314683598
0.37,0.0013938422312954463,1.1175729314683598
0.38,0.0016219526389941823,1.1175729314683598
0.39,0.0018663283035117698,1.1175729314683598
0.4,0.0021265729595203267,1.1175729314683598
0.41,0.0024024176325293653,1.1175729314683598
0.42,0.0026938912793060357,1.1175729314683598
0.43,0.003001226330660156,1.1175729314683598
0.44,0.0033246544440704057,1.1175729314683598
0.45,0.003664276167803086,1.1175729314683598
0.46,0.004020056759350004,1.1175729314683598
0.47,0.004391893484777401,1.1175729314683598
0.48,0.004779676666650555,1.1175729314683598
0.49,0.005183301502334272,1.1175729314683598
0.5,0.005602638843662387,1.1175729314683598
0.51,0.006037499178862029,1.1175729314683598
0.52,0.006487615415124337,1.1175729314683598
0.53,0.006952647476364941,1.1175729314683598
0.54,0.00743219633815074,1.1175729314683598
0.55,0.007925814153671738,1.1175729314683598
0.56,0.008433005624333901,1.1175729314683598
0.57,0.00895322418432759,1.1175729314683598
0.58,0.009485869106848609,1.1175729314683598
0.59,0.010030286950510748,1.1175729314683598
0.6,0.010585776790756753,1.1175729314683598
0.61,0.01115159662400782,1.1175729314683598
