t_s,df_hz
9.83,-0.03713643160935866
9.84,-0.03713636718753858
9.85,-0.037136302719688284
9.86,-0.03713623824267698
9.87,-0.037136173792333645
9.88,-0.03713610940340867
9.89,-0.03713604510945153
9.9,-0.037135980942768695
9.91,-0.037135916934478784
9.92,-0.03713585311435537
9.93,-0.03713578951081951
9.94,-0.03713572615097384
9.95,-0.037135663060462155
9.96,-0.0371356002635342
9.97,-0.037135537782983515
9.98,-0.03713547564011685
9.99,-0.03713541385476134
10.0,-0.037135352445261116
