t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
0.0,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.01,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.02,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.03,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.04,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.05,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.06,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.07,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.08,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.09,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.1,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.11,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.12,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.13,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.14,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.15,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.16,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.17,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.18,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.19,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.2,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.21,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.22,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.23,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.24,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.25,0.4315015383311213,0.0,1.0787538458278036,0.6472523074966823,0.9999999999999066,10.0
0.26,0.43714781296798544,0.005646274636864136,1.0802118110830712,0.6430639981150857,0.9999416813896959,10.0
0.27,0.4391223315656526,0.007620793234531359,1.0819853189601112,0.6428629873944587,0.9998707410746143,10.0
0.28,0.43862749472233736,0.007125956391216043,1.0836123843080712,0.6449848895857337,0.9998056584606959,10.0
0.29,0.4384839561348525,0.006982417803731211,1.0848897255124652,0.6464057693776126,0.9997545648125201,10.0
0.3,0.43954084115324543,0.008039302822124143,1.086144460047699,0.6466036188944535,0.9997043754311108,10.0
0.31,0.44093396133530066,0.009432423004179348,1.087248809718561,0.6463148483832603,0.9996602014442764,10.0
0.32,0.4420169534154533,0.01051541508433198,1.0879870236890612,0.6459700702736081,0.9996306728854563,10.0
0.33,0.4425385946124123,0.011037056281290978,1.088443600020977,0.6459050054085647,0.9996124098321797,10.0
0.34,0.44257885479524145,0.011077316464120189,1.0887699462961893,0.6461910915009478,0.9995993559811712,10.0
0.35,0.44248238292662717,0.010980844595505895,1.089082325758879,0.6465999428322519,0.9995868608026636,10.0
0.36,0.4425030998276283,0.01100156149650705,1.089450648650784,0.6469475488231555,0.9995721278869873,10.0
0.37,0.4426576481991833,0.011156109868062,1.0898656247467917,0.6472079765476084,0.9995555288431471,10.0
0.38,0.4428423850187007,0.011340846687579403,1.0902816816912355,0.6474392966725349,0.9995388865653693,10.0
0.39,0.442959096915143,0.011457558584021735,1.0906741690274515,0.6477150721123083,0.9995231870719208,10.0
0.4,0.4429812935731699,0.011479755242048605,1.0910477192429762,0.6480664256698063,0.9995082450632997,10.0
0.41,0.4429518884986733,0.011450350167551986,1.0914215451375073,0.6484696566388339,0.9994932920275185,10.0
0.42,0.4429285262337016,0.011426987902580328,1.0918122313756515,0.6488837051419499,0.9994776645779927,10.0
